,issues_new.csv,issues_closed.csv,issue_comments.csv,issue_response_time.csv,issue_resolution_duration.csv,issue_age.csv,code_change_lines_add.csv,code_change_lines_remove.csv,code_change_lines_sum.csv,change_requests.csv,change_requests_accepted.csv,change_requests_reviews.csv,change_request_response_time.csv,change_request_resolution_duration.csv,change_request_age.csv,bus_factor.csv,inactive_contributors.csv,activity.csv,new_contributors.csv,attention.csv,stars.csv,technical_fork.csv,participants.csv,openrank.csv
hyscale/hyscale,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
alfameCom/mule-bpm-module,,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
finos/common-domain-model,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
angus-c/just,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tomcat-slf4j-logback/tomcat-slf4j-logback,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1
webpack-contrib/exports-loader,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Esri/esri-leaflet,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
krux/postscribe,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
jquery-i18n-properties/jquery-i18n-properties,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1
apigee/apigee-deploy-maven-plugin,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1
agrosner/DBFlow,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1
konigio/konig,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
snowplow-referer-parser/scala-referer-parser,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
visionmedia/page.js,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LIonWeb-org/lioncore-java,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1
quarkiverse/quarkus-opentelemetry-exporter,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
substack/stream-combiner2,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
