combined_name,group_id,artifact_id,latest_release,release_count,releases_with_cves,total_releases_cve_count,low_severity_count,moderate_severity_count,high_severity_count,critical_severity_count,unknown_severity_count
com.rabbitmq.jms:rabbitmq-jms,com.rabbitmq.jms,rabbitmq-jms,2.9.0,31,19,19,0,0,19,0,0
com.orientechnologies:orientdb-core,com.orientechnologies,orientdb-core,3.2.33,235,112,112,0,0,0,112,0
com.puppycrawl.tools:checkstyle,com.puppycrawl.tools,checkstyle,10.18.0,146,83,155,0,155,0,0,0
com.orientechnologies:orientdb-server,com.orientechnologies,orientdb-server,3.2.33,235,51,51,0,51,0,0,0
com.pubnub:pubnub,com.pubnub,pubnub,4.6.5,46,46,46,0,46,0,0,0
com.shopizer:sm-core-model,com.shopizer,sm-core-model,3.2.3,17,13,13,0,0,0,13,0
com.sap.scimono:scimono-server,com.sap.scimono,scimono-server,0.1.4,65,17,17,0,0,17,0,0
com.schibsted.security:strongbox-sdk,com.schibsted.security,strongbox-sdk,0.6.0,3,1,1,0,1,0,0,0
com.sap.cloud.security:java-security,com.sap.cloud.security,java-security,3.5.3,100,80,160,0,0,0,160,0
com.sap.cloud.security.xsuaa:spring-xsuaa,com.sap.cloud.security.xsuaa,spring-xsuaa,3.5.3,115,95,190,0,0,0,190,0
com.sap.cloud.security:spring-security,com.sap.cloud.security,spring-security,3.5.3,78,58,116,0,0,0,116,0
com.shopizer:shopizer,com.shopizer,shopizer,2.16.0,1,1,3,0,3,0,0,0
com.softwaremill.akka-http-session:core_2.11,com.softwaremill.akka-http-session,core_2.11,0.5.11,22,21,21,0,21,0,0,0
com.squareup.okhttp3:okhttp,com.squareup.okhttp3,okhttp,5.0.0-alpha.14,94,4,4,0,4,0,0,0
com.softwaremill.akka-http-session:core_2.12,com.softwaremill.akka-http-session,core_2.12,0.7.1,18,15,28,0,13,15,0,0
com.squareup:connect,com.squareup,connect,2.20191120.0,39,39,39,39,0,0,0,0
com.sparkjava:spark-core,com.sparkjava,spark-core,2.9.4,25,18,28,0,18,10,0,0
com.softwaremill.akka-http-session:core_2.13,com.softwaremill.akka-http-session,core_2.13,0.7.1,9,4,4,0,4,0,0,0
com.squareup.okio:okio,com.squareup.okio,okio,3.9.0,72,65,65,0,65,0,0,0
com.squareup.retrofit2:retrofit,com.squareup.retrofit2,retrofit,2.11.0,24,7,14,0,0,7,7,0
com.sonyericsson.hudson.plugins.gerrit:gerrit-trigger,com.sonyericsson.hudson.plugins.gerrit,gerrit-trigger,2.2.0,3,3,18,0,12,6,0,0
com.sonyericsson.hudson.plugins.rebuild:rebuild,com.sonyericsson.hudson.plugins.rebuild,rebuild,1.2,3,3,6,0,6,0,0,0
com.squareup.okio:okio-jvm,com.squareup.okio,okio-jvm,3.9.0,12,6,6,0,6,0,0,0
com.sun.el:el-ri,com.sun.el,el-ri,3.0.4,2,1,1,0,1,0,0,0
com.sun.faces:jsf-api,com.sun.faces,jsf-api,2.2.8-35,230,1,1,0,1,0,0,0
com.twelvemonkeys.imageio:imageio-metadata,com.twelvemonkeys.imageio,imageio-metadata,3.11.0,37,24,24,0,0,0,24,0
com.tencyle.fixes:org.codehaus.jettison--jettison,com.tencyle.fixes,org.codehaus.jettison--jettison,1.1-tencyle-2.1.0,1,1,1,0,1,0,0,0
com.thoughtworks.xstream:xstream,com.thoughtworks.xstream,xstream,1.4.20,45,44,1468,44,481,888,55,0
com.typesafe.akka:akka-stream-kafka,com.typesafe.akka,akka-stream-kafka,0.11-M1,1,1,1,0,1,0,0,0
com.vaadin:vaadin,com.vaadin,vaadin,24.4.10,553,330,590,330,260,0,0,0
com.usthe.sureness:sureness-core,com.usthe.sureness,sureness-core,1.1.0,35,33,33,0,0,0,33,0
