group,name,version,github_url,stars,forks,open_issues,contributors,watchers,downloads,dependencies,license,documentation,test_code,build_status,vulnerabilities,badges,website,releases,closed_issues,commit_frequency,usage
io.undertow,undertow-parent,1.0.0.Alpha1,https://github.com/undertow-io/undertow,3590,999,68,222,196,0,0,Apache License 2.0,,,,0,,undertow.io,7,1610,0,
ml.combust.mleap,mleap-runtime_2.12,0.14.0,https://github.com/combust/mleap.git,1502,310,112,86,66,0,0,Apache License 2.0,,,,0,,https://combust.github.io/mleap-docs/,5,762,0,
ml.shifu,shifu,0.10.0,https://github.com/shifuml/shifu.git,251,109,238,42,42,0,0,Apache License 2.0,,,,0,,https://github.com/ShifuML/shifu/wiki,2,545,0,
net.bramp.ffmpeg,ffmpeg,0.1,https://github.com/bramp/ffmpeg-cli-wrapper,1688,413,49,34,61,0,0,"BSD 2-Clause ""Simplified"" License",,,,0,,,0,305,0,
net.opentsdb,opentsdb,2.2.0RC1,https://github.com/OpenTSDB/opentsdb,4995,1252,534,175,335,0,0,GNU Lesser General Public License v2.1,,,,0,,http://opentsdb.net,26,1761,0,
net.mingsoft,ms-mcms,4.6.3-SNAPSHOTS,https://github.com/ming-soft/mcms,1489,662,39,41,107,0,0,MIT License,,,,0,,http://www.mingsoft.net,2,60,0,
net.pwall.json,jsonutil,2.0,https://github.com/pwall567/jsonutil.git,3,0,0,4,2,0,0,MIT License,,,,0,,,0,2,0,
net.sf.sojo,sojo,1.0.5,http://github.com/maddingo/sojo,2,6,4,8,3,0,0,Apache License 2.0,,,,0,,http://sojo.sourceforge.net/,0,13,0,
net.sourceforge.plantuml,plantuml-mit,1.2023.7,https://github.com/plantuml/plantuml,10399,944,466,89,155,0,0,Other,,,,0,,https://plantuml.com,45,1292,0,
net.snowflake,snowflake-jdbc,2.8.0,http://github.com/snowflakedb/snowflake-jdbc/tree/master,173,164,56,108,22,0,0,Apache License 2.0,,,,0,,,92,1830,0,
nl.basjes.parse.useragent,yauaa-beam-sql,7.0.0,https://github.com/nielsbasjes/yauaa,767,132,10,21,38,0,0,Apache License 2.0,,,,0,,https://yauaa.basjes.nl,60,1540,0,
org.apache.atlas,apache-atlas,1.0.0-alpha,https://github.com/apache/atlas.git,1821,841,77,212,74,0,0,Apache License 2.0,,,,0,,,0,169,0,
org.apache.ambari,ambari,1.7.0.0,https://github.com/apache/ambari,2148,1678,126,273,204,0,0,Apache License 2.0,,,,0,,https://ambari.apache.org,0,3691,0,
org.apache.archiva,archiva,2.2.0,https://github.com/apache/archiva,326,118,34,49,37,0,0,Apache License 2.0,,,,0,,https://archiva.apache.org,5,100,0,
org.apache.druid,druid,0.13.0-incubating,https://github.com/apache/incubator-druid.git,13443,3691,802,685,585,0,0,Apache License 2.0,,,,0,,https://druid.apache.org/,61,16428,0,
org.apache.druid,druid,0.17.0,https://github.com/apache/druid.git,13443,3691,802,685,585,0,0,Apache License 2.0,,,,0,,https://druid.apache.org/,61,16428,0,
org.apache.dubbo,dubbo-parent,2.7.0,https://github.com/apache/incubator-dubbo,40409,26413,852,633,3053,0,0,Apache License 2.0,,,,0,,https://dubbo.apache.org/,105,13629,0,
org.apache.eventmesh,eventmesh-connector-rabbitmq,1.7.0-release,https://github.com/apache/incubator-eventmesh,1602,638,231,380,66,0,0,Apache License 2.0,,,,0,,https://eventmesh.apache.org/,12,4886,0,
org.apache.dolphinscheduler,dolphinscheduler,1.2.0,https://github.com/apache/incubator-dolphinscheduler,12740,4585,292,600,330,0,0,Apache License 2.0,,,,0,,https://dolphinscheduler.apache.org/,52,15521,0,
org.apache.dolphinscheduler,dolphinscheduler,3.0.0,https://github.com/apache/dolphinscheduler,12740,4585,292,600,330,0,0,Apache License 2.0,,,,0,,https://dolphinscheduler.apache.org/,52,15521,0,
org.apache.inlong,inlong,1.1.0-incubating,https://github.com/apache/incubator-inlong,1375,533,176,186,69,0,0,Apache License 2.0,,,,0,,https://inlong.apache.org/,15,11062,0,
org.apache.inlong,inlong,1.4.0,https://github.com/apache/inlong,1375,533,176,186,69,0,0,Apache License 2.0,,,,0,,https://inlong.apache.org/,15,11062,0,
org.apache.heron,heron-simulator,0.20.1-incubating-rc2,https://github.com/apache/incubator-heron.git,3645,597,410,145,283,0,0,Apache License 2.0,,,,0,,https://heron.apache.org/,56,3417,0,
org.apache.guacamole,guacamole-common,0.9.10-incubating,https://github.com/apache/incubator-guacamole-client,1391,702,42,112,85,0,0,Apache License 2.0,,,,0,,,0,979,0,
org.apache.linkis,linkis,1.0.3,https://github.com/apache/incubator-linkis,3298,1164,166,195,263,0,0,Apache License 2.0,,,,0,,https://linkis.apache.org/,31,4921,0,
org.apache.iotdb,iotdb-parent,0.8.0,https://github.com/apache/incubator-iotdb,5557,999,451,298,125,0,0,Apache License 2.0,,,,0,,https://iotdb.apache.org/,37,13020,0,
org.apache.seatunnel,seatunnel-web,1.0.0,https://github.com/apache/seatunnel-web,520,253,20,145,23,0,0,Apache License 2.0,,,,0,,https://seatunnel.apache.org/,0,204,0,
