groupId,artifactId,version,githubUrl
org.webjars.npm,http-cache-semantics,3.8.1,https://github.com/kornelski/http-cache-semantics
org.webjars,handlebars,1.0.rc.1,http://github.com/webjars/handlebars
org.webjars.npm,xlsx,0.8.0,https://github.com/SheetJS/js-xlsx
org.wildfly.bom,wildfly,11.0.0.Alpha1,http://github.com/wildfly/boms
org.webjars,swagger-ui,2.0.12,http://github.com/webjars/swagger-ui
org.webjars,bootstrap,4.0.0,http://github.com/webjars/bootstrap
org.webjars.npm,vuetify,2.0.0-beta.4,https://github.com/vuetifyjs/vuetify
org.wiremock,wiremock,3.0.0-beta-11,https://github.com/wiremock/wiremock
org.wso2.am,am-parent,1.10.0,https://github.com/wso2/product-apim.git
org.xbib.elasticsearch,log4j,6.3.2.1,https://github.com/jprante/elasticsearch-libs
org.wso2.carbon.registry,carbon-registry,4.6.11,https://github.com/wso2/carbon-registry.git
org.zaproxy,zap,2.5.0,https://github.com/zaproxy/zaproxy
org.yamcs,yamcs,0.29.3,http://github.com/yamcs/yamcs
org.wso2.transport.http,org.wso2.transport.http.netty,6.0.50,https://github.com/wso2/transport-http.git
org.xwiki.commons,xwiki-commons,3.2-milestone-3,https://github.com/xwiki/xwiki-commons
pl.allegro.tech.hermes,hermes-management,0.7.2,https://github.com/allegro/hermes
ru.yandex.clickhouse,clickhouse-jdbc-bridge,1.2.0,https://github.com/ClickHouse/clickhouse-jdbc-bridge
tech.powerjob,powerjob,3.0.0,https://github.com/PowerJob/PowerJob
software.amazon.awssdk.iotdevicesdk,aws-iot-device-sdk,0.2.3,http://github.com/awslabs/aws-iot-device-sdk-java-v2/tree/master
software.amazon.ion,ion-java,1.0.0,https://github.com/amznlabs/ion-java.git
software.amazon.cryptography,aws-database-encryption-sdk-dynamodb,3.0.0-preview-1,https://github.com/aws/aws-database-encryption-sdk-dynamodb-java.git
top.tangyh.basic,lamp-util,3.4.0,https://github.com/zuihou/lamp-util.git
